line_name,direction,lon,lat
23路,忻康里-中山南一路西藏南路,121.42644698528433,31.23099914971937
23路,忻康里-中山南一路西藏南路,121.42648504360835,31.230999198356493
23路,忻康里-中山南一路西藏南路,121.42657718329353,31.23102030664005
23路,忻康里-中山南一路西藏南路,121.42677547984,31.23112951137435
23路,忻康里-中山南一路西藏南路,121.42732530814583,31.23148306443097
23路,忻康里-中山南一路西藏南路,121.42747854254057,31.231572225227833
23路,忻康里-中山南一路西藏南路,121.42783809945097,31.231755618438207
23路,忻康里-中山南一路西藏南路,121.42801337305805,31.231847810834154
23路,忻康里-中山南一路西藏南路,121.42831885444387,31.231999153619245
23路,忻康里-中山南一路西藏南路,121.42846408423907,31.232079314186063
23路,忻康里-中山南一路西藏南路,121.42889176891566,31.23229480177635
23路,忻康里-中山南一路西藏南路,121.42902999950815,31.23228000005978
23路,忻康里-中山南一路西藏南路,121.42935052375692,31.232408387750706
23路,忻康里-中山南一路西藏南路,121.42996253873999,31.23265713842477
23路,忻康里-中山南一路西藏南路,121.4301077853053,31.23268233452583
23路,忻康里-中山南一路西藏南路,121.43022198160455,31.2326824983994
23路,忻康里-中山南一路西藏南路,121.43053552755919,31.23264097053942
23路,忻康里-中山南一路西藏南路,121.43071884958582,31.23261025146785
23路,忻康里-中山南一路西藏南路,121.43077995753092,31.232597346654796
23路,忻康里-中山南一路西藏南路,121.43077194351181,31.23259733494965
23路,忻康里-中山南一路西藏南路,121.43134496190221,31.23250622111516
23路,忻康里-中山南一路西藏南路,121.43153630551618,31.232476519737112
23路,忻康里-中山南一路西藏南路,121.43190296740262,31.232438087679814
23路,忻康里-中山南一路西藏南路,121.43215542690336,31.232412481570623
23路,忻康里-中山南一路西藏南路,121.43239286282795,31.232377859295585
23路,忻康里-中山南一路西藏南路,121.43254514069757,31.23239208593784
23路,忻康里-中山南一路西藏南路,121.43265233601655,31.232413240907558
23路,忻康里-中山南一路西藏南路,121.43310315650969,31.232583860109767
23路,忻康里-中山南一路西藏南路,121.43363112879734,31.23279758948469
23路,忻康里-中山南一路西藏南路,121.43373031348268,31.232831730555247
23路,忻康里-中山南一路西藏南路,121.43406694310505,31.232956208371007
23路,忻康里-中山南一路西藏南路,121.43414308637203,31.232983317574288
23路,忻康里-中山南一路西藏南路,121.43436450574411,31.233048642704574
23路,忻康里-中山南一路西藏南路,121.43471617920876,31.233123176674066
23路,忻康里-中山南一路西藏南路,121.43493062296471,31.232820665319753
23路,忻康里-中山南一路西藏南路,121.43515208503497,31.232491179880412
23路,忻康里-中山南一路西藏南路,121.43571818222492,31.23274000029782
23路,忻康里-中山南一路西藏南路,121.43596266079693,31.23284735864575
23路,忻康里-中山南一路西藏南路,121.4360999310184,31.23290456232365
23路,忻康里-中山南一路西藏南路,121.43616105165728,31.232929653430933
23路,忻康里-中山南一路西藏南路,121.43616906742932,31.23293366505767
23路,忻康里-中山南一路西藏南路,121.43616105165728,31.232929653430933
23路,忻康里-中山南一路西藏南路,121.43636746040917,31.233013962408325
23路,忻康里-中山南一路西藏南路,121.43666605454867,31.2331444084785
23路,忻康里-中山南一路西藏南路,121.43677226666479,31.233193566734514
23路,忻康里-中山南一路西藏南路,121.43694862110729,31.23326283619306
23路,忻康里-中山南一路西藏南路,121.43738450252418,31.23344450266686
23路,忻康里-中山南一路西藏南路,121.43775926622739,31.233615075075132
23路,忻康里-中山南一路西藏南路,121.43783542174927,31.233655189558956
23路,忻康里-中山南一路西藏南路,121.43797270392014,31.233714402548976
23路,忻康里-中山南一路西藏南路,121.43826330254596,31.233857847510496
23路,忻康里-中山南一路西藏南路,121.438309398008,31.233878919171307
23路,忻康里-中山南一路西藏南路,121.43862305000478,31.2340244080202
23路,忻康里-中山南一路西藏南路,121.43878338550158,31.234093661758305
23路,忻康里-中山南一路西藏南路,121.4388214651304,31.234112720965953
23路,忻康里-中山南一路西藏南路,121.43918823750964,31.234273304716158
23路,忻康里-中山南一路西藏南路,121.43928744778309,31.2343134650251
23路,忻康里-中山南一路西藏南路,121.44142909835223,31.2351580282432
23路,忻康里-中山南一路西藏南路,121.44204848168174,31.23540509000878
23路,忻康里-中山南一路西藏南路,121.44213968710483,31.23543824905476
23路,忻康里-中山南一路西藏南路,121.44214068956913,31.2354362518892
23路,忻康里-中山南一路西藏南路,121.44286633926501,31.235675539661226
23路,忻康里-中山南一路西藏南路,121.44319508892384,31.23584610099796
23路,忻康里-中山南一路西藏南路,121.44330233420028,31.235905283361827
23路,忻康里-中山南一路西藏南路,121.44346270175808,31.235995556038322
23路,忻康里-中山南一路西藏南路,121.44350079011814,31.236006625698177
23路,忻康里-中山南一路西藏南路,121.44382954816152,31.236186190649605
23路,忻康里-中山南一路西藏南路,121.4438906903786,31.236211299958068
23路,忻康里-中山南一路西藏南路,121.4443196943179,31.236370078747782
23路,忻康里-中山南一路西藏南路,121.44446503638301,31.236422344816777
23路,忻康里-中山南一路西藏南路,121.44506846586326,31.236644455337398
23路,忻康里-中山南一路西藏南路,121.44524488783755,31.23669678827646
23路,忻康里-中山南一路西藏南路,121.44575010227885,31.236861740975524
23路,忻康里-中山南一路西藏南路,121.44630043765308,31.237039789880672
23路,忻康里-中山南一路西藏南路,121.44659114756153,31.237141344859186
23路,忻康里-中山南一路西藏南路,121.446988122858,31.23727810839456
23路,忻康里-中山南一路西藏南路,121.44717961472372,31.237123579587095
23路,忻康里-中山南一路西藏南路,121.44744730705608,31.23688225204995
23路,忻康里-中山南一路西藏南路,121.4478072412083,31.236574152730064
