station_name,direction,ToDir,station_idx,station_lon,station_lat
中山公园(万航渡路),中山公园(万航渡路)-汉口路四川中路,0,310100054669015,121.41416057442632,31.22541435927627
华阳路长宁路,中山公园(万航渡路)-汉口路四川中路,0,310100054669016,121.41874731625384,31.224180782401827
愚园路安西路,中山公园(万航渡路)-汉口路四川中路,0,310100054669020,121.4219094608207,31.220691621526463
愚园路江苏路,中山公园(万航渡路)-汉口路四川中路,0,310100054669004,121.42785399299518,31.221760308880476
愚园路镇宁路,中山公园(万航渡路)-汉口路四川中路,0,310100054669005,121.43216426801342,31.22290292954517
愚园路乌鲁木齐北路,中山公园(万航渡路)-汉口路四川中路,0,310100054669006,121.43655155800549,31.224650165518128
静安寺,中山公园(万航渡路)-汉口路四川中路,0,310100054669007,121.44141395361454,31.224880770260263
南京西路陕西北路,中山公园(万航渡路)-汉口路四川中路,0,310100054669008,121.44921449292043,31.2290156546454
上海电视台,中山公园(万航渡路)-汉口路四川中路,0,310100054669009,121.45860212012938,31.232894587775256
南京西路成都北路,中山公园(万航渡路)-汉口路四川中路,0,310100054669010,121.46153387667147,31.232776961672553
南京西路黄河路,中山公园(万航渡路)-汉口路四川中路,0,310100054669011,121.46717626052744,31.235056619004705
九江路浙江中路,中山公园(万航渡路)-汉口路四川中路,0,310100054669012,121.47364836272568,31.23636575606509
汉口路四川中路,中山公园(万航渡路)-汉口路四川中路,0,310100054669021,121.48337066575039,31.23843777024364
汉口路四川中路,汉口路四川中路-中山公园(万航渡路),1,310100054668027,121.4832943988323,31.238420554135658
九江路江西中路,汉口路四川中路-中山公园(万航渡路),1,310100054668028,121.4821001588443,31.23897580155609
九江路福建中路,汉口路四川中路-中山公园(万航渡路),1,310100054668003,121.4775675432656,31.237746236053326
九江路黄河路,汉口路四川中路-中山公园(万航渡路),1,310100054668004,121.4685125207641,31.235460025720247
南京西路黄河路,汉口路四川中路-中山公园(万航渡路),1,310100054668005,121.46643095613072,31.234238009313184
南京西路成都北路,汉口路四川中路-中山公园(万航渡路),1,310100054668006,121.4635299806083,31.232865034809763
上海电视台,汉口路四川中路-中山公园(万航渡路),1,310100054668007,121.46037739514881,31.23275205793657
南京西路石门一路,汉口路四川中路-中山公园(万航渡路),1,310100054668008,121.45591639973426,31.232459295715564
南京西路陕西北路,汉口路四川中路-中山公园(万航渡路),1,310100054668009,121.448980895082,31.228956177594387
静安寺,汉口路四川中路-中山公园(万航渡路),1,310100054668010,121.44200326052682,31.225211732676154
北京西路乌鲁木齐北路,汉口路四川中路-中山公园(万航渡路),1,310100054668011,121.4376146495215,31.225714493127327
愚园路镇宁路,汉口路四川中路-中山公园(万航渡路),1,310100054668012,121.43058950107893,31.222505775999572
愚园路江苏路,汉口路四川中路-中山公园(万航渡路),1,310100054668013,121.42736522737809,31.22162472398629
愚园路安西路,汉口路四川中路-中山公园(万航渡路),1,310100054668025,121.4213897909048,31.22072305117062
愚园路定西路,汉口路四川中路-中山公园(万航渡路),1,310100054668026,121.41806084979487,31.220755760344176
中山公园(长宁路),汉口路四川中路-中山公园(万航渡路),1,310100054668018,121.41438519515552,31.220592794248653
凯旋路汇川路,汉口路四川中路-中山公园(万航渡路),1,310100054668019,121.41035486970645,31.22206945755565
中山公园(万航渡路),汉口路四川中路-中山公园(万航渡路),1,310100054668020,121.41410351153426,31.22555525139779
