station_name,direction,ToDir,station_idx,station_lon,station_lat
剑河路泉口路,剑河路泉口路-昌化路海防路,0,310100014765002,121.36372438119288,31.213707300181397
泉口路剑河路,剑河路泉口路-昌化路海防路,0,310100014765026,121.36158358101478,31.215330367503572
平塘路甘溪路,剑河路泉口路-昌化路海防路,0,310100014765003,121.35992340816486,31.213853368756347
仙霞西路剑河路,剑河路泉口路-昌化路海防路,0,310100014765004,121.36233082967009,31.21035174733406
仙霞路哈密路,剑河路泉口路-昌化路海防路,0,310100014765005,121.36860072694307,31.209854194734437
仙霞路青溪路,剑河路泉口路-昌化路海防路,0,310100014765006,121.37234201026344,31.209606268037028
仙霞路威宁路,剑河路泉口路-昌化路海防路,0,310100014765007,121.37773024050057,31.20927246345529
威宁路仙霞路,剑河路泉口路-昌化路海防路,0,310100014765008,121.3797502091704,31.211400852843795
天山路天中路,剑河路泉口路-昌化路海防路,0,310100014765009,121.38254750118384,31.21667039499655
天山路芙蓉江路,剑河路泉口路-昌化路海防路,0,310100014765010,121.38831913834268,31.215442970107244
古北路天山路,剑河路泉口路-昌化路海防路,0,310100014765011,121.39507710350419,31.216156867683704
长宁路古北路,剑河路泉口路-昌化路海防路,0,310100014765012,121.39502278930817,31.21983612649045
长宁路锦屏路,剑河路泉口路-昌化路海防路,0,310100014765013,121.39793762461666,31.220128828370118
长宁路娄山关路,剑河路泉口路-昌化路海防路,0,310100014765014,121.40199725315911,31.21916868404339
长宁路中山西路,剑河路泉口路-昌化路海防路,0,310100014765015,121.40843890128092,31.21922980124536
中山公园,剑河路泉口路-昌化路海防路,0,310100014765016,121.41237854975329,31.21996668471453
长宁路江苏路,剑河路泉口路-昌化路海防路,0,310100014765017,121.42181800310559,31.224593685719203
曹家渡(长宁路),剑河路泉口路-昌化路海防路,0,310100014765027,121.42319239301588,31.22960786567383
长寿路武宁路,剑河路泉口路-昌化路海防路,0,310100014765020,121.42449079057609,31.2344091580895
安远路胶州路,剑河路泉口路-昌化路海防路,0,310100014765021,121.42975580880126,31.23700684420005
余姚路胶州路,剑河路泉口路-昌化路海防路,0,310100014765022,121.43566362101494,31.23796151115713
海防路西康路,剑河路泉口路-昌化路海防路,0,310100014765023,121.43907357475953,31.23907889703408
江宁路海防路,剑河路泉口路-昌化路海防路,0,310100014765024,121.44300313385244,31.24171904801894
昌化路海防路,剑河路泉口路-昌化路海防路,0,310100014765025,121.44442545815915,31.24201571653589
昌化路海防路,昌化路海防路-剑河路泉口路,1,310100014764002,121.44438034589515,31.242069602081138
海防路江宁路,昌化路海防路-剑河路泉口路,1,310100014764003,121.44387521398868,31.241295949789336
海防路西康路,昌化路海防路-剑河路泉口路,1,310100014764004,121.43987628548165,31.239397205936438
余姚路胶州路,昌化路海防路-剑河路泉口路,1,310100014764005,121.43564056976085,31.238024444115585
长寿路胶州路,昌化路海防路-剑河路泉口路,1,310100014764006,121.42865475663042,31.23944819298537
长寿路叶家宅路,昌化路海防路-剑河路泉口路,1,310100014764007,121.42667574139335,31.237853288906027
曹家渡(长寿路),昌化路海防路-剑河路泉口路,1,310100014764008,121.42304694519194,31.232482369094438
曹家渡(长宁路),昌化路海防路-剑河路泉口路,1,310100014764009,121.42289192863905,31.23026122277922
长宁路江苏路,昌化路海防路-剑河路泉口路,1,310100014764010,121.422383678766,31.225328956957295
中山公园(长宁路),昌化路海防路-剑河路泉口路,1,310100014764011,121.41440921628003,31.220598809328283
长宁路中山西路,昌化路海防路-剑河路泉口路,1,310100014764012,121.40947750574317,31.21957715736017
长宁路遵义路,昌化路海防路-剑河路泉口路,1,310100014764013,121.40221029933925,31.21924169070494
长宁路锦屏路,昌化路海防路-剑河路泉口路,1,310100014764014,121.39758660740193,31.220250770210903
古北路长宁路,昌化路海防路-剑河路泉口路,1,310100014764015,121.39422205141504,31.218149034966533
天山支路古北路,昌化路海防路-剑河路泉口路,1,310100014764026,121.3934753199266,31.216638879311958
天山路芙蓉江路,昌化路海防路-剑河路泉口路,1,310100014764017,121.38911979033303,31.215381689690993
天山路天中路,昌化路海防路-剑河路泉口路,1,310100014764018,121.38357677437996,31.216568808103357
威宁路新渔东路,昌化路海防路-剑河路泉口路,1,310100014764025,121.38041326988191,31.21568831314403
威宁路仙霞路,昌化路海防路-剑河路泉口路,1,310100014764020,121.37959038899587,31.21093619610162
仙霞路青溪路,昌化路海防路-剑河路泉口路,1,310100014764021,121.37405703118031,31.209590581779462
仙霞路哈密路,昌化路海防路-剑河路泉口路,1,310100014764022,121.36943162080517,31.209917225130575
剑河路仙霞西路,昌化路海防路-剑河路泉口路,1,310100014764023,121.36421985090175,31.2111788747219
剑河路泉口路,昌化路海防路-剑河路泉口路,1,310100014764024,121.36372438006437,31.213720293961607
