station_name,direction,ToDir,station_idx,station_lon,station_lat
中山公园地铁站,中山公园地铁站-新潮路福泉路,0,310100015033002,121.41200410330596,31.221723612441274
长宁路中山西路,中山公园地铁站-新潮路福泉路,0,310100015033003,121.40943147735437,31.219566138474793
遵义路长宁路,中山公园地铁站-新潮路福泉路,0,310100015033004,121.4041259681009,31.218227633756573
遵义路玉屏南路,中山公园地铁站-新潮路福泉路,0,310100015033005,121.40360806023084,31.215149957893363
遵义路天山路,中山公园地铁站-新潮路福泉路,0,310100015033006,121.40315710508511,31.21300886899577
遵义路仙霞路,中山公园地铁站-新潮路福泉路,0,310100015033007,121.40172119841498,31.20758218289842
茅台路古北路,中山公园地铁站-新潮路福泉路,0,310100015033008,121.39665636703903,31.21169287486049
茅台路芙蓉江路,中山公园地铁站-新潮路福泉路,0,310100015033009,121.39216306386741,31.211653543856496
茅台路水城路,中山公园地铁站-新潮路福泉路,0,310100015033010,121.38726695262186,31.211980075282714
茅台路威宁路,中山公园地铁站-新潮路福泉路,0,310100015033011,121.38136577006738,31.212505166817245
威宁路仙霞路,中山公园地铁站-新潮路福泉路,0,310100015033012,121.37958239869197,31.210905217021548
仙霞路青溪路,中山公园地铁站-新潮路福泉路,0,310100015033013,121.37401807478965,31.20959061908201
仙霞路哈密路,中山公园地铁站-新潮路福泉路,0,310100015033014,121.36942363125848,31.20991723404883
仙霞西路剑河路,中山公园地铁站-新潮路福泉路,0,310100015033015,121.36296284772196,31.21029893315074
仙霞西路淞虹路,中山公园地铁站-新潮路福泉路,0,310100015033016,121.35683193958715,31.2107713212684
福泉路仙霞西路,中山公园地铁站-新潮路福泉路,0,310100015033017,121.35485952006742,31.209977685428207
福泉路新泾路,中山公园地铁站-新潮路福泉路,0,310100015033018,121.35529303202573,31.206596656382548
金浜路福泉路,中山公园地铁站-新潮路福泉路,0,310100015033019,121.35668011407374,31.200312627546342
中泾路新潮路,中山公园地铁站-新潮路福泉路,0,310100015033020,121.35791381749972,31.202089937685912
新潮路福泉路,中山公园地铁站-新潮路福泉路,0,310100015033021,121.35591817609539,31.2035851715036
新潮路福泉路,新潮路福泉路-中山公园地铁站,1,310100015032002,121.35591817609539,31.2035851715036
福泉路新泾路,新潮路福泉路-中山公园地铁站,1,310100015032003,121.35543086859992,31.205629915485062
福泉路仙霞西路,新潮路福泉路-中山公园地铁站,1,310100015032004,121.3548435292132,31.210205600156925
仙霞西路淞虹路,新潮路福泉路-中山公园地铁站,1,310100015032005,121.35715138336028,31.210753855892328
仙霞西路剑河路,新潮路福泉路-中山公园地铁站,1,310100015032006,121.36236178103705,31.210351705964914
仙霞路哈密路,新潮路福泉路-中山公园地铁站,1,310100015032007,121.36873754507569,31.209840045337305
仙霞路青溪路,新潮路福泉路-中山公园地铁站,1,310100015032008,121.3723190376222,31.209606291414488
仙霞路威宁路,新潮路福泉路-中山公园地铁站,1,310100015032009,121.37766130636665,31.209276518322675
仙霞路水城路,新潮路福泉路-中山公园地铁站,1,310100015032010,121.38441596638987,31.20791047724179
仙霞路芙蓉江路,新潮路福泉路-中山公园地铁站,1,310100015032011,121.38952529956639,31.20762627029391
仙霞路古北路,新潮路福泉路-中山公园地铁站,1,310100015032012,121.39368205896035,31.207694135547733
娄山关路天山路,新潮路福泉路-中山公园地铁站,1,310100015032013,121.39960943421268,31.212213677042563
玉屏南路遵义路,新潮路福泉路-中山公园地铁站,1,310100015032014,121.40279883703244,31.214880889933532
长宁路中山西路,新潮路福泉路-中山公园地铁站,1,310100015032015,121.40849993576698,31.21924382385385
中山公园地铁站,新潮路福泉路-中山公园地铁站,1,310100015032016,121.4118209648633,31.22169650904337
